#name "Gaggle-Goodbye-First"
#participants 5
set_dialogue_color 1 0 0.52 0.95
set_dialogue_voice 1 8
set_dialogue_color 3 0 0.52 0.95
set_dialogue_voice 3 8
set_dialogue_color 2 101 139 54
set_dialogue_voice 2 15
set_dialogue_color 4 101 139 54
set_dialogue_voice 4 15
say 1 "Ghost" "I'll leave you to... [wait 0.1]Whatever it is you're doing, [wait 0.05]here."

say 2 "Vando" "Hey, [wait 0.05]wait just a tick!"

say 2 "Vando" "You're that one guy, [wait 0.05]right?"

say 1 "Ghost" "...[wait 0.1]Good question."

say 3 "Erdi" "Kak, [wait 0.05]Vando, [wait 0.05]aren't you a talker."

say 2 "Vando" "You're that guy that likes books! [wait 0.05]What, [wait 0.05]you collect 'em or somethin'? [wait 0.05]What's up with that?"

say 1 "Ghost" "The hell makes you say that?"

say 3 "Erdi" "'Ey saw you with a stack of books under 'yer arm, [wait 0.05]like, [wait 0.05]once."

say 2 "Vando" "Just three books ain't a stack! [wait 0.05]That's, [wait 0.05]like... [wait 0.1]A fraction of a pile."

say 3 "Erdi" "That's literally what a stack is."

say 1 "Ghost" "What's got you interested in books?"

say 2 "Vando" "Nothin' personal, [wait 0.05]nothin' crazy. [wait 0.1]Really. [wait 0.1]I was just tryin' to think of a gift for my lord, [wait 0.05]get 'im to cut me slack on rent."

say 2 "Vando" "He's a bit of a stickler for like... [wait 0.1]Uhh..."

say 3 "Erdi" "This is that ecological nationalist fellow, [wait 0.05]innit?"

say 2 "Vando" "Y-Yeah, [wait 0.05]but. [wait 0.1]Saying that right out the gate's a bit weird, [wait 0.05]right?"

say 1 "Ghost" "Pretty weird, [wait 0.05]yeah."

say 2 "Vando" "Look, [wait 0.05]I know this is a long shot, [wait 0.05]but a long shot's all I got... [wait 0.1]Do you know about any books that are like... [wait 0.1]Proud of the flora in north Preuwyn?"

say 3 "Erdi" "And cue 'im walking right out the door in three, [wait 0.05]two..."

say 1 "Ghost" "Let me get this straight. [wait 0.1]You want a book about patriotic plants so you can skip rent."

say 3 "Erdi" "Hehahah! [wait 0.05]Right!?"

say 2 "Vando" "Oh, [wait 0.05]come on! [wait 0.05]How's that not feasible!? [wait 0.05]The quill-spinners in the force have so much to proselie... [wait 0.1]Er, [wait 0.05]preach about! [wait 0.05]Why wouldn't they try their hand at gassing up some local flowers?"

say 1 "Ghost" "Look, [wait 0.05]buddy. [wait 0.1]You could not be barking up a tree more wrong. [wait 0.1]I was collecting tinder for the fire that night."

say 1 "Ghost" "I have no interest in books."

*The screen cuts to black before fading back in, implying a minor time-skip.*

say 3 "Erdi" "Spurhelm being a lauded period of change is shit and you know it. [wait 0.1]The world's only waking up then! [wait 0.05]We only burn wood for the year like a shrug and a nod."

say 1 "Ghost" "You can say that all you want, [wait 0.05]but every single time a scribe writes flowery prose about the turning of time, [wait 0.05]they bring up dew on the grass."

say 1 "Ghost" "And when do you get dew on the grass in Preuwyn? [wait 0.05]Spur! [wait 0.05]That's THE time for the sun to melt the snow."

say 3 "Erdi" "That happens every day, [wait 0.05]tet-wash! [wait 0.05]The sun melts the snow in th' morning, [wait 0.05]and that's what authors are really evoking with dew, [wait 0.05]whether they like it or not!"

say 1 "Ghost" "And pray tell, [wait 0.05]in what season does the sun come out? [wait 0.05]Hmm? [wait 0.05]It sure as hell isn't in Wick! [wait 0.05]Ice only starts melting when the birds are free!"

say 3 "Erdi" "Why do you always have to evoke Lugarian symbology, [wait 0.05]huh? [wait 0.05]Aren't we trying to describe Preuwynian metaphors? [wait 0.05]The snow don't melt here!"

say 1 "Ghost" "Look, [wait 0.05]your favorite little Klaasjie wrote about the snow melting as a way to escape the ever-the-same tundra she was surrounded by! [wait 0.05]That was the whole point!"

say 1 "Ghost" "The sparkling of the snow under the sun was to denote static, [wait 0.05]never-changing stillness! [wait 0.05]That was literally in the text, [wait 0.05]and you can't get more north than that!"

say 3 "Erdi" "Who gives a shit about the sparkling of the snow? [wait 0.05]That's not dew, [wait 0.05]that's not what we're talking about!"

say 1 "Ghost" "It's relevant because that's the device used in the writing to contrast the dew! [wait 0.05]You're supposed to compare the two states of ice to reflect on what the author was saying! [wait 0.05]You did read all of The Storm With No Eye, [wait 0.05]right? [wait 0.05]You aren't just spitballing?"

say 3 "Erdi" "Yeah, [wait 0.05]I read it like three times. [wait 0.1]It sucked. [wait 0.1]Easily her worst work."

say 1 "Ghost" "Okay, [wait 0.05]whatever. [wait 0.1]All that aside, [wait 0.05]the sparkling snow is literally the same thing as dew. [wait 0.1]It's the same substance, [wait 0.05]just at a different point in time. [wait 0.1]It's just water, [wait 0.05]dude."

say 3 "Erdi" "If you want to split hairs..."

say 1 "Ghost" "That was the whole point! [wait 0.05]How did you read it three times and not get that!?"

say 2 "Vando" "Umm..."

say 3 "Erdi" "I meant you're splitting hairs with Klaasjie's crap. [wait 0.1]That's just one author, [wait 0.05]she's not th' sole arbiter of Spur and Sail and what they mean."

say 1 "Ghost" "Yeah, [wait 0.05]obviously. [wait 0.1]That makes me really wonder why you kept bringing her up."

